Epoch	Training Loss	Validation Loss	BLEU	ROUGE-L	Samples
1	4.7425	2.8470	0.10	23.91	
2	3.1744	3.0350	0.08	21.78	
3	3.1445	3.0294	0.09	21.82	
4	3.1321	3.0672	0.09	23.08	
5	3.2127	3.1143	0.07	22.09	
6	3.1032	3.2059	0.09	22.58	
7	3.0126	3.2995	0.09	22.63	
8	2.9102	3.3540	0.09	21.80	
9	2.8520	3.4140	0.09	21.85	
10	2.7352	3.4615	0.09	22.06	
