Epoch	Training Loss	Validation Loss	BLEU	ROUGE-L
1	6.9789	3.0624	0.00	0.00
2	4.0030	3.0587	0.00	0.00
3	3.6037	3.0349	0.00	0.00
4	3.3488	3.1192	0.00	0.00
5	3.3894	3.1495	0.00	0.00
6	3.1754	3.2386	0.00	0.00
7	3.1563	3.3315	0.00	0.00
8	3.1327	3.3780	0.00	0.00
9	3.1463	3.4413	0.00	0.00
10	3.3799	3.4866	0.00	0.00
